show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,description,classification
s1,Movie,Duck the Halls: A Mickey Mouse Christmas Special,"Alonso Ramirez Ramos, Dave Wasson",,2021-11-26,2021.0,TV-G,23.0,"A, n, i, m, a, t, i, o, n, ,,  , F, a, m, i, l, y",Join Mickey and the gang as they duck the halls!,
s2,Movie,Ernest Saves Christmas,John Cherry,,2021-11-26,2021.0,PG,91.0,"C, o, m, e, d, y",Santa Claus passes his magic bag to a new St. Nic.,1.0
s3,Movie,Ice Age: A Mammoth Christmas,Karen Disher,United States,2021-11-26,2021.0,TV-G,23.0,"A, n, i, m, a, t, i, o, n, ,,  , C, o, m, e, d, y, ,,  , F, a, m, i, l, y",Sid the Sloth is on Santa's naughty list.,
s4,Movie,The Queen Family Singalong,Hamish Hamilton,,2021-11-26,2021.0,TV-PG,41.0,"M, u, s, i, c, a, l","This is real life, not just fantasy!",
s5,TV Show,The Beatles: Get Back,Unknown,,2021-11-25,2021.0,,1.0,"D, o, c, u, s, e, r, i, e, s, ,,  , H, i, s, t, o, r, i, c, a, l, ,,  , M, u, s, i, c",A three-part documentary from Peter Jackson capturing a moment in music history with The Beatles.,
s6,Movie,Becoming Cousteau,Liz Garbus,United States,2021-11-24,2021.0,PG-13,94.0,"B, i, o, g, r, a, p, h, i, c, a, l, ,,  , D, o, c, u, m, e, n, t, a, r, y",An inside look at the legendary life of adventurer Jacques-Yves Cousteau.,2.0
s7,TV Show,Hawkeye,Unknown,,2021-11-24,2021.0,TV-14,1.0,"A, c, t, i, o, n, -, A, d, v, e, n, t, u, r, e, ,,  , S, u, p, e, r, h, e, r, o",Clint Barton/Hawkeye must team up with skilled archer Kate Bishop to unravel a criminal conspiracy.,
s8,TV Show,Port Protection Alaska,Unknown,United States,2021-11-24,2021.0,TV-14,2.0,"D, o, c, u, s, e, r, i, e, s, ,,  , R, e, a, l, i, t, y, ,,  , S, u, r, v, i, v, a, l",Residents of Port Protection must combat volatile conditions to survive and thrive in Alaska.,
s9,TV Show,Secrets of the Zoo: Tampa,Unknown,United States,2021-11-24,2021.0,TV-PG,2.0,"A, n, i, m, a, l, s,  , &,  , N, a, t, u, r, e, ,,  , D, o, c, u, s, e, r, i, e, s, ,,  , F, a, m, i, l, y",A day in the life at ZooTampa is anything but ordinary. It's extraordinary!,
s10,Movie,A Muppets Christmas: Letters To Santa,Kirk R. Thatcher,United States,2021-11-19,2021.0,G,45.0,"C, o, m, e, d, y, ,,  , F, a, m, i, l, y, ,,  , M, u, s, i, c, a, l",Celebrate the holiday season with all your favorite Muppets.,0.0
s11,Movie,Adventure Thru the Walt Disney Archives,John Gleim,,2021-11-19,2021.0,TV-PG,59.0,"D, o, c, u, m, e, n, t, a, r, y",Explore the treasures and rich history of the Walt Disney Archives.,
s12,Movie,Puppy for Hanukkah,Unknown,,2021-11-19,2021.0,TV-G,4.0,"C, o, m, e, d, y, ,,  , F, a, m, i, l, y, ,,  , M, u, s, i, c","Check out Daveed Digg's official music video ""Puppy for Hanukkah!""",
s13,Movie,The Pixar Story,Leslie Iwerks,United States,2021-11-19,2021.0,G,91.0,"D, o, c, u, m, e, n, t, a, r, y, ,,  , F, a, m, i, l, y",A groundbreaking company forever changes the face of filmmaking.,0.0
s14,TV Show,"Dr. Oakley, Yukon Vet",Unknown,United States,2021-11-17,2021.0,TV-PG,10.0,"A, c, t, i, o, n, -, A, d, v, e, n, t, u, r, e, ,,  , A, n, i, m, a, l, s,  , &,  , N, a, t, u, r, e, ,,  , D, o, c, u, s, e, r, i, e, s","Meet Dr. Michelle Oakley, vet to pretty much everything that moves in the rugged Yukon.",
s15,Movie,America the Beautiful,Unknown,,2021-11-12,2021.0,TV-PG,2.0,"A, n, i, m, a, l, s,  , &,  , N, a, t, u, r, e","Epic, grand portrait of the land across four regions on the most extreme continent. Coming in 2022.",
s16,Movie,Baymax!,Unknown,,2021-11-12,2021.0,TV-G,1.0,"A, n, i, m, a, t, i, o, n",“Baymax!” premieres on Disney+ summer 2022.,
s17,Movie,Ciao Alberto,McKenna Harris,,2021-11-12,2021.0,TV-PG,8.0,"A, n, i, m, a, t, i, o, n, ,,  , C, o, m, e, d, y, ,,  , F, a, m, i, l, y",Fun-loving sea monster Alberto whole-heartedly wants to prove himself to his stoic mentor Massimo.,
s18,TV Show,Disney Fancy Nancy,Unknown,"United States, Canada",2021-11-12,2021.0,TV-PG,3.0,"A, n, i, m, a, t, i, o, n, ,,  , K, i, d, s",Nancy makes every day extraordinary!,
s19,TV Show,Disney Intertwined,Unknown,,2021-11-12,2021.0,TV-PG,1.0,"C, o, m, e, d, y, ,,  , C, o, m, i, n, g,  , o, f,  , A, g, e, ,,  , D, r, a, m, a",Allegra is ready to change the past in order to reach her dream.,
s20,Movie,Enchanted,Kevin Lima,United States,2021-11-12,2021.0,PG,110.0,"C, o, m, e, d, y, ,,  , F, a, m, i, l, y, ,,  , F, a, n, t, a, s, y",An animated princess winds up in the real world of modern-day Manhattan.,1.0
s21,Movie,Feast,Patrick Osborne,United States,2021-11-12,2021.0,G,8.0,"A, n, i, m, a, t, i, o, n, ,,  , C, o, m, e, d, y, ,,  , D, r, a, m, a",One man's love life seen through the eyes of his dog.,0.0
s22,Movie,Frozen Fever,"Chris Buck, Jennifer Lee",United States,2021-11-12,2021.0,G,11.0,"A, n, i, m, a, t, i, o, n, ,,  , F, a, m, i, l, y, ,,  , F, a, n, t, a, s, y",Elsa wants to give Anna the best birthday party ever.,0.0
s23,Movie,Get a Horse!,Lauren MacMullan,United States,2021-11-12,2021.0,G,7.0,"A, c, t, i, o, n, -, A, d, v, e, n, t, u, r, e, ,,  , A, n, i, m, a, t, i, o, n, ,,  , C, o, m, e, d, y",Mickey and friends hitch a ride on a musical hay wagon.,0.0
s24,Movie,Home Sweet Home Alone,Dan Mazer,United States,2021-11-12,2021.0,PG,95.0,"C, o, m, e, d, y, ,,  , F, a, m, i, l, y","Alone for the holidays, Max Mercer will do whatever it takes to protect his home from trespassers.",1.0
s25,Movie,Jungle Cruise,Jaume Collet-Serra,United States,2021-11-12,2021.0,PG-13,129.0,"A, c, t, i, o, n, -, A, d, v, e, n, t, u, r, e, ,,  , C, o, m, e, d, y, ,,  , F, a, m, i, l, y",Dr. Lily Houghton & skipper Frank Wolff team up for a wild ride on the Amazon.,2.0
s26,Movie,Limitless with Chris Hemsworth,Unknown,,2021-11-12,2021.0,TV-14,2.0,"L, i, f, e, s, t, y, l, e","""Limitless with Chris Hemsworth"" is coming to Disney+ in 2022.",
s27,Movie,Marvel Studios’ 2021 Disney+ Day Special,Unknown,,2021-11-12,2021.0,TV-PG,14.0,"M, o, v, i, e, s","Marvel Studios’ Disney+ Day Special explores the Disney+ series of the MCU – past, present and future.",
s28,Movie,Obi-Wan Kenobi,Unknown,,2021-11-12,2021.0,TV-PG,1.0,"A, c, t, i, o, n, -, A, d, v, e, n, t, u, r, e, ,,  , S, c, i, e, n, c, e,  , F, i, c, t, i, o, n","A behind the scenes look of the ""Obi-Wan Kenobi"" special event series. Coming to Disney+ in 2022.",
